epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.346,1.95834,2.51879,1.86222,0.31738,0.31878,0.23853,0.09585,2.11829,2.37219,2.09044,0.000555308,0.000555308,0.000555308
2,482.516,1.96233,2.3626,1.86085,0.4071,0.34447,0.32981,0.14157,1.99223,2.11408,1.92571,0.00105598,0.00105598,0.00105598
3,713.773,1.9099,2.24424,1.81042,0.38376,0.39495,0.32212,0.13703,1.92336,2.03797,1.85832,0.00150164,0.00150164,0.00150164
4,944.996,1.85353,2.13778,1.76659,0.3824,0.39787,0.35055,0.16498,1.83697,1.93871,1.7935,0.00141945,0.00141945,0.00141945
5,1175.55,1.80278,2.01464,1.71831,0.43767,0.46979,0.40346,0.18702,1.80106,1.71983,1.73544,0.00133693,0.00133693,0.00133693
6,1404.31,1.75811,1.92964,1.68742,0.45968,0.45846,0.41314,0.19649,1.75702,1.67883,1.7087,0.00125442,0.00125442,0.00125442
7,1635.5,1.7248,1.86023,1.66918,0.47614,0.50164,0.45407,0.22422,1.71355,1.56312,1.67275,0.0011719,0.0011719,0.0011719
8,1864.98,1.70499,1.79791,1.64751,0.50265,0.52722,0.48248,0.23453,1.69001,1.49201,1.65549,0.00108938,0.00108938,0.00108938
9,2094.18,1.66835,1.74295,1.61915,0.52391,0.52734,0.50693,0.25419,1.65317,1.47363,1.61345,0.00100687,0.00100687,0.00100687
10,2323.96,1.64291,1.69841,1.6031,0.52509,0.54444,0.51906,0.26745,1.61265,1.4226,1.60753,0.000924352,0.000924352,0.000924352
11,2558.81,1.65818,1.56646,1.64293,0.53406,0.54382,0.5416,0.28604,1.57793,1.35421,1.56459,0.000841835,0.000841835,0.000841835
12,2788.29,1.61099,1.48593,1.60943,0.57763,0.55845,0.58209,0.30961,1.55327,1.28336,1.54876,0.000759318,0.000759318,0.000759318
13,3018.39,1.57477,1.42976,1.57823,0.54019,0.59835,0.55783,0.30373,1.51587,1.2767,1.52973,0.000676802,0.000676802,0.000676802
14,3246.87,1.53881,1.36025,1.54991,0.55972,0.59228,0.56111,0.30523,1.51744,1.26725,1.51961,0.000594286,0.000594286,0.000594286
15,3476.52,1.50479,1.30262,1.52711,0.56461,0.59513,0.58063,0.32408,1.47767,1.23117,1.48587,0.000511769,0.000511769,0.000511769
16,3704.88,1.46915,1.24073,1.504,0.60057,0.57863,0.62018,0.3501,1.45126,1.16528,1.46063,0.000429253,0.000429253,0.000429253
17,3932.51,1.43643,1.17502,1.47052,0.61922,0.60114,0.61056,0.34977,1.42398,1.15004,1.44355,0.000346736,0.000346736,0.000346736
18,4161.95,1.40081,1.11392,1.44467,0.59921,0.60617,0.58771,0.33857,1.3985,1.19258,1.42474,0.00026422,0.00026422,0.00026422
19,4389.62,1.36407,1.06401,1.41925,0.60381,0.61334,0.58999,0.34223,1.3861,1.17829,1.41679,0.000181703,0.000181703,0.000181703
