epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1843,1.94539,3.14704,1.85703,0.43044,0.26581,0.11835,0.05017,1.73185,47.3859,1.5297,0.000414519,0.000414519,0.000414519
2,121.012,1.91458,2.52383,1.83479,0.54639,0.2461,0.22528,0.13154,1.79928,48.4798,1.63388,0.000814728,0.000814728,0.000814728
3,179.311,1.90409,2.40285,1.83715,0.43951,0.22656,0.24429,0.14113,1.84711,44.2297,1.707,0.00119844,0.00119844,0.00119844
4,236.576,1.90267,2.36828,1.85545,0.62739,0.27305,0.29324,0.16139,1.65667,15.32,1.55561,0.00117575,0.00117575,0.00117575
5,294.421,1.87239,2.28577,1.82616,0.35809,0.31593,0.33006,0.17461,1.61864,45.5067,1.52223,0.001151,0.001151,0.001151
6,352.003,1.84554,2.20517,1.79297,0.31695,0.3493,0.34307,0.19015,1.58929,8.13835,1.55298,0.00112625,0.00112625,0.00112625
7,409.291,1.82851,2.17463,1.77795,0.37358,0.33685,0.34528,0.18821,1.6248,11.9771,1.5181,0.0011015,0.0011015,0.0011015
8,466.591,1.81648,2.13011,1.76764,0.43314,0.33021,0.36666,0.19646,1.56855,8.80311,1.49914,0.00107675,0.00107675,0.00107675
9,524.133,1.7931,2.09097,1.74979,0.66862,0.35684,0.36481,0.20481,1.60749,11.745,1.49383,0.001052,0.001052,0.001052
10,581.435,1.77996,2.04889,1.72566,0.41167,0.35218,0.37148,0.20502,1.56998,14.8865,1.47094,0.00102725,0.00102725,0.00102725
11,639.889,1.77182,2.04254,1.72854,0.40808,0.34997,0.36391,0.19583,1.61352,32.8892,1.5165,0.0010025,0.0010025,0.0010025
12,697.68,1.77396,2.02202,1.72697,0.66591,0.38645,0.3852,0.21444,1.5545,11.0047,1.50136,0.00097775,0.00097775,0.00097775
13,755.196,1.74944,1.97141,1.70366,0.40604,0.36043,0.3863,0.21342,1.5347,4.08159,1.47309,0.000953,0.000953,0.000953
14,812.715,1.72671,1.9405,1.68607,0.69993,0.37347,0.40562,0.22995,1.52053,10.305,1.41066,0.00092825,0.00092825,0.00092825
15,870.01,1.72528,1.94538,1.68486,0.4335,0.39888,0.41212,0.23125,1.52272,10.1821,1.46063,0.0009035,0.0009035,0.0009035
16,927.358,1.72453,1.90413,1.67008,0.44922,0.39648,0.41663,0.23373,1.52802,4.52655,1.44838,0.00087875,0.00087875,0.00087875
17,984.972,1.70192,1.88446,1.66475,0.44136,0.39548,0.41353,0.23,1.53261,4.22429,1.46229,0.000854,0.000854,0.000854
18,1043.25,1.69646,1.87546,1.66548,0.42797,0.40457,0.41553,0.23626,1.51779,10.405,1.43378,0.00082925,0.00082925,0.00082925
19,1102.84,1.68756,1.86253,1.65772,0.41317,0.38181,0.40409,0.23075,1.52109,7.99415,1.41781,0.0008045,0.0008045,0.0008045
20,1164.12,1.67244,1.83269,1.65005,0.41663,0.39585,0.41927,0.23517,1.48901,5.94318,1.43328,0.00077975,0.00077975,0.00077975
21,1225.03,1.66464,1.79924,1.63373,0.45794,0.39596,0.42874,0.2418,1.50704,4.01658,1.44027,0.000755,0.000755,0.000755
22,1288.02,1.6558,1.80151,1.63102,0.48648,0.49974,0.4531,0.24941,1.50776,5.17006,1.42762,0.00073025,0.00073025,0.00073025
23,1349,1.64277,1.75737,1.62233,0.44474,0.3996,0.42353,0.24021,1.4887,10.3532,1.4313,0.0007055,0.0007055,0.0007055
