epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6171,1.93576,5.09131,3.50897,1.81232,0,0.01285,0.34866,0.02884,0.00682,0.00659,0.17369,0.00229,0.00031,1.98138,4.54139,3.43493,1.78353,0,3.334e-05,3.334e-05,3.334e-05
2,27.0426,1.63471,4.10612,3.26706,1.64398,0,0.01694,0.43487,0.16086,0.13727,0.01551,0.38059,0.1553,0.06691,1.21115,3.63696,3.16647,1.2328,0,8.25248e-05,8.25248e-05,8.25248e-05
3,40.5514,1.29565,3.16678,2.93497,1.39083,0,0.01809,0.52107,0.1791,0.1139,0.01694,0.46552,0.1717,0.11175,1.15,3.00953,3.01606,1.04103,0,0.000130719,0.000130719,0.000130719
4,54.0363,1.20468,2.57186,2.448,1.21557,0,0.01563,0.52107,0.27611,0.22506,0.01433,0.46552,0.27273,0.17835,0.8161,2.41993,2.87142,0.89882,0,0.000177924,0.000177924,0.000177924
5,66.655,0.99621,2.02628,1.72033,1.13967,0,0.01483,0.52107,0.35729,0.3051,0.01396,0.48276,0.37598,0.26537,0.83315,1.86148,2.70498,0.88875,0,0.000224138,0.000224138,0.000224138
6,79.0372,0.83576,1.60466,1.12593,1.00853,0,0.98648,0.24138,0.38165,0.33996,0.98648,0.24138,0.37685,0.28302,0.75554,1.8909,2.47808,0.87515,0,0.000269362,0.000269362,0.000269362
7,91.3728,0.81446,1.40422,1.09209,1.02631,0,0.98841,0.24138,0.33202,0.26021,0.98841,0.24138,0.34293,0.26102,0.93681,1.98154,2.48871,0.96981,0,0.000313596,0.000313596,0.000313596
8,103.479,0.90517,1.64228,1.03754,1.03777,0,0.98982,0.24138,0.32276,0.28002,0.98982,0.24138,0.32126,0.25526,0.94259,2.18125,2.52606,0.98723,0,0.00035684,0.00035684,0.00035684
9,116.097,0.76923,1.3441,0.89951,0.97427,0,0.98491,0.24138,0.3385,0.24589,0.98491,0.24138,0.33857,0.24412,1.14652,3.08367,2.71876,1.15412,0,0.000399093,0.000399093,0.000399093
10,128.441,0.82251,1.46203,0.89828,0.96495,0,0.98322,0.24138,0.34492,0.27077,0.98322,0.24138,0.34428,0.24885,1.13194,3.1279,2.68068,1.16148,0,0.000440356,0.000440356,0.000440356
11,140.735,0.80397,1.26663,0.95548,1.00113,0,0.98985,0.24138,0.37493,0.31882,0.98985,0.24138,0.37268,0.29396,0.92988,2.4766,2.55486,1.04192,0,0.000480629,0.000480629,0.000480629
12,153.001,0.79357,1.29032,0.87753,0.93958,0,0.9934,0.24138,0.38675,0.33063,0.9934,0.24138,0.38456,0.29809,0.88107,2.08674,2.39715,0.98867,0,0.000519912,0.000519912,0.000519912
13,165.553,0.73652,1.33861,0.86352,0.96784,0,0.99394,0.24138,0.37089,0.29117,0.99394,0.24138,0.36743,0.28038,0.8843,2.34983,2.34265,1.00477,0,0.000558205,0.000558205,0.000558205
14,177.762,0.69248,1.13936,0.80959,0.93764,0,0.99719,0.24138,0.32219,0.25763,0.99719,0.24138,0.31888,0.24806,0.88897,2.12069,2.17111,0.98624,0,0.000595507,0.000595507,0.000595507
