epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2306,1.85595,4.4243,3.664,1.86177,0,0.00779,0.40038,0.03786,0.01539,0.0069,0.32759,0.02875,0.00674,1.54394,3.75725,3.50343,1.49282,0,5.001e-05,5.001e-05,5.001e-05
2,45.4214,1.39651,3.32388,3.27321,1.47975,0,0.00982,0.52107,0.18725,0.10898,0.00927,0.46552,0.18399,0.10279,1.28507,2.82472,3.33112,1.23511,0,0.00011438,0.00011438,0.00011438
3,67.1462,1.04366,2.32446,2.51831,1.17272,0,0.00846,0.52107,0.33191,0.21808,0.00786,0.46552,0.35014,0.21001,0.9966,2.29191,3.16175,1.03239,0,0.000176109,0.000176109,0.000176109
4,88.8653,0.92546,1.78833,1.48438,1.06694,0,0.00847,0.52107,0.34438,0.20835,0.00787,0.46552,0.34371,0.19233,1.24584,2.7398,2.91316,1.18044,0,0.000235197,0.000235197,0.000235197
5,110.688,0.83441,1.54262,1.29907,1.02559,0,0.66882,0.24138,0.3066,0.21262,0.66882,0.24138,0.27153,0.1542,1.11464,3.0514,2.9457,1.04981,0,0.000291645,0.000291645,0.000291645
6,133.063,0.8633,1.44101,1.20899,1.03313,0,0.01063,0.6507,0.30022,0.25416,0.01063,0.6507,0.27488,0.19274,0.97296,1.95419,2.85481,0.97159,0,0.000345452,0.000345452,0.000345452
7,155.663,0.8253,1.47859,1.06866,0.98212,0,0.01244,0.52107,0.2937,0.24314,0.00828,0.34483,0.24822,0.17659,1.01351,1.95995,2.8201,1.01878,0,0.000396619,0.000396619,0.000396619
8,175.909,0.80311,1.32358,1.08823,0.96942,0,1,0.13273,0.27891,0.24418,1,0.13273,0.24854,0.18586,0.86048,1.86236,2.78122,0.99251,0,0.000445146,0.000445146,0.000445146
9,196.607,0.76831,1.22187,0.98767,0.941,0,1,0.13315,0.32811,0.27999,1,0.13315,0.31901,0.25373,0.90652,1.56445,2.7238,1.04028,0,0.000491032,0.000491032,0.000491032
10,218.211,0.71723,1.32442,0.91309,0.93156,0,1,0.13636,0.37452,0.33025,1,0.13636,0.3674,0.29607,0.86645,1.58062,2.64732,0.96861,0,0.000534277,0.000534277,0.000534277
11,239.054,0.70019,1.13108,0.91071,0.92194,0,0.98755,0.24138,0.34275,0.3052,0.98755,0.24138,0.33475,0.28183,0.85303,1.65135,2.56047,0.94546,0,0.000574882,0.000574882,0.000574882
12,259.394,0.71311,1.21244,0.91679,0.90512,0,0.97647,0.24138,0.36835,0.32166,0.97647,0.24138,0.36202,0.28173,0.89812,1.89398,2.55157,0.97634,0,0.000612846,0.000612846,0.000612846
